tweet_text,date_created,country,latitude,longitude,url
"Último rato que queda con #VeroDJEnCompacto y los mejores temones, ahora suena @DNCE #Dance y @CHANOTB #LaNoche

@Fmcompacto",Sat Apr 14 16:40:42 +0000 2018,Argentina,-57.645563,-38.1278142,
"Ey bro, vos bailas break dance?",Sat Apr 14 16:39:59 +0000 2018,Argentina,-58.890754,-34.686158,
quem é feliz que dance todo dia,Sat Apr 14 15:41:23 +0000 2018,Brazil,-51.211235,-29.8111662,
"Guardians of the Galaxy (2014), dir. by James Gunn
+Interesting, lovable characters
+Backstories and development
+G… https://t.co/g2NjsDyMgu",Sat Apr 14 15:17:33 +0000 2018,Argentina,-57.645563,-38.1278142,https://t.co/g2NjsDyMgu
Ayer probé un clase de pole dance y lo que me duele todo hoy no tiene explicación. 😩😩😩,Sat Apr 14 15:10:50 +0000 2018,Argentina,-58.644732,-34.654376,
I have no talent i can’t sing can’t dance can’t play sports can’t draw can’t play an instrument can’t be smart wow we love a failure,Sat Apr 14 15:00:20 +0000 2018,Argentina,-58.7345527,-34.537735,
I just loveee to dance :),Sat Apr 14 14:23:10 +0000 2018,Argentina,-55.959513,-27.4591698,
"Learn how to dance before downloading pls
#WonDerdi
@arabofficialosm
https://t.co/qzaF5BYqiE",Sat Apr 14 17:12:48 +0000 2018,Ghana,-0.0817078,5.613502,https://t.co/qzaF5BYqiE
"World #dance day shutdown in Makurdi...
Get over to the #dancefloor 29th April. https://t.co/ZaSKKz7KHD",Sat Apr 14 17:11:56 +0000 2018,Nigeria,8.4779465,7.6795931,
"Some dancing bi @richayetownpb de dance for here erh
#WonDerdi
@arabofficialosm
https://t.co/qzaF5BGOU4",Sat Apr 14 17:07:31 +0000 2018,Ghana,-0.0817078,5.613502,https://t.co/qzaF5BGOU4
my happy dance — feel very lucky to be in such a beautiful place on a Saturday afternoon with… https://t.co/vDdKY1cMDB,Sat Apr 14 16:49:15 +0000 2018,Republic of Croatia,13.4897243,42.3776665,https://t.co/vDdKY1cMDB
Dance with the ball 🕺⚽️💃 we are back with andreasfreestyles3 tag a friend with whom you would… https://t.co/NCJ6cT2gS7�,Sat Apr 14 16:41:46 +0000 2018,Italy,12.2344266,41.6558738,https://t.co/NCJ6cT2gS7
"Saturday vibes + ☀️☀️ = shakyy shake #longtimenosee #dance #utgång? @ Stockholm, Sweden https://t.co/3DmL0N9ry8",Sat Apr 14 17:15:17 +0000 2018,Sweden,17.7601322,59.2271383,https://t.co/3DmL0N9ry8
This dance marathon also has bounce houses. @ James A. Rhodes Arena https://t.co/OOqBbeBA0D,Sat Apr 14 17:24:00 +0000 2018,United States,-81.628444,40.995137,https://t.co/OOqBbeBA0D
White boy pulled those river dance moves out with the quickness https://t.co/FpAUfd5kKD,Sat Apr 14 17:23:23 +0000 2018,United States,-74.255641,40.495865,https://t.co/FpAUfd5kKD
"Conservatory Dance Company: Spring Dance Concert George R. White Dance Complex, Pittsbu… https://t.co/kSQIFUOeHr",Sat Apr 14 17:22:15 +0000 2018,United States,-80.095586,40.3615796,https://t.co/kSQIFUOeHr
My birthday present from Alexander. � Living room dance party happening right now chez nous. https://t.co/I4K3IsqCp8,Sat Apr 14 17:21:28 +0000 2018,United States,-83.200169,39.832013,
"Adventists are some creative people. We can’t dance, but we can have rhythmic movements with sticks and ribbons? JUST DANCE lol",Sat Apr 14 17:21:14 +0000 2018,United States,-86.36849,41.89966,
"I'm at Kercheval Dance in Grosse Pointe, MI https://t.co/k7gp5cU6O7",Sat Apr 14 17:20:37 +0000 2018,United States,-82.922419,42.378787,https://t.co/k7gp5cU6O7
"“I’d rather dance than march” - Hannah Ryan, an animal nurse from Boston #MarchForScience https://t.co/HudJBAiZRt",Sat Apr 14 17:18:51 +0000 2018,United States,-71.191421,42.227797,
